ep_returns,ep_lens
-23.24977583853308,50.526315789473685
-23.30139254399866,51.06382978723404
-23.261178582264456,51.06382978723404
-23.34388649397127,50.526315789473685
-22.694684451553126,50.0
-22.210591959184153,48.97959183673469
-22.11671818280314,50.526315789473685
-21.060134776460124,48.97959183673469
-21.771529509747694,50.0
-20.81693774361157,48.97959183673469
-20.695149992764076,49.48453608247423
-20.40195658792522,48.97959183673469
-19.96548581976802,48.484848484848484
-19.68369135540347,47.524752475247524
-18.763698076635105,46.601941747572816
-18.701726682530975,47.524752475247524
-18.36970247963751,46.601941747572816
-17.965776752618723,44.85981308411215
-17.924970775854895,46.601941747572816
-17.559022653891077,45.714285714285715
-17.305133569024814,45.714285714285715
-17.631832904977664,47.05882352941177
-17.16424625479413,47.524752475247524
-16.491019693076645,46.15384615384615
-16.468303191278444,45.283018867924525
-16.46456319795661,46.601941747572816
-15.785494881620611,45.714285714285715
-15.586658959252835,44.03669724770642
-15.927405058561398,45.714285714285715
-15.905987749243355,47.05882352941177
-15.169514347322117,45.283018867924525
-15.19525781524785,45.714285714285715
-14.823488680763994,44.44444444444444
-14.877940718086167,43.63636363636363
-14.960843150432408,45.714285714285715
-14.375932751052868,43.63636363636363
-14.293931751388694,44.03669724770642
-14.005409384510967,42.857142857142854
-13.926849621783223,43.63636363636363
-13.849718009815213,44.85981308411215
-13.69625387790814,44.03669724770642
-13.447321705132099,42.857142857142854
-13.441341075802852,42.47787610619469
-13.356000226195999,42.47787610619469
-12.810389862055814,42.10526315789474
-12.521588789784104,42.47787610619469
-12.893649251673773,43.24324324324324
-12.342777140227128,43.24324324324324
-12.134097813385852,41.73913043478261
-12.390812923319137,42.857142857142854
-11.77342756019982,42.10526315789474
-11.562698679177345,44.03669724770642
-11.46357597451467,42.47787610619469
-11.401956918905286,42.47787610619469
-11.133304870281782,42.857142857142854
-11.444036803280584,42.857142857142854
-11.12579694635665,42.47787610619469
-10.46509563386698,40.67796610169491
-10.645523642113718,41.73913043478261
-10.82012615044197,42.47787610619469
-10.593047890504446,41.73913043478261
-10.165774702231174,41.37931034482759
-10.41493074222491,40.67796610169491
-10.21048356528256,41.02564102564103
-9.955546250547465,41.02564102564103
-10.000747121691898,42.47787610619469
-9.841911533013379,40.33613445378151
-9.628625031551215,41.73913043478261
-9.260763502034784,39.34426229508197
-9.260175224247268,40.33613445378151
-9.505873747420212,39.66942148760331
-9.212811565820413,40.33613445378151
-9.109609458895905,39.34426229508197
-8.737323521362319,40.33613445378151
-8.876421978952745,40.0
-8.772461514804638,40.0
-8.433232841737185,38.70967741935484
-8.664605877750772,39.34426229508197
-8.398135753373634,39.66942148760331
-8.34278482062558,38.4
-7.959636016006222,38.4
-7.981866416449873,39.34426229508197
-7.851476897749372,39.02439024390244
-7.923674553303191,38.70967741935484
-8.060784421163381,38.70967741935484
-7.830311828451113,39.66942148760331
-7.672361195603308,37.79527559055118
-7.527371194666276,38.70967741935484
-7.52373822526902,38.70967741935484
-7.413800641135718,38.70967741935484
-7.371345113987809,38.4
-7.333170976640715,38.4
-7.207923651025101,38.095238095238095
-6.854124724758234,37.5
-6.787386593972916,38.4
-7.059298952553943,38.4
-6.865581333108015,39.02439024390244
-6.74888666604099,37.5
-6.71958793826074,37.79527559055118
-6.559159473458618,37.5
-6.908232017183842,38.095238095238095
-6.776545205501067,38.4
